uid,timestamp_iso,activity,main_task,clothing_upper,clothing_lower,arrival_mode,pre_entry_temp,intake,current_feel,notes
79e5bb67-5fd9-4b23-98d7-cbb237aaac4f,2025-12-08T12:55:13.600939,Sitting and typing/talking,Working at computer,Long-sleeve shirt,Jeans,Walking/cycling,Neutral,Light snack; Cold drink; Hot drink,Neutral (0),
20251211-01,2025-12-11T15:26:32.847255,Other,Other,Other,Other,Other,Other,Light snack,Other,
20251211-01,2025-12-11T15:27:54.987805,Other,Other,Other,Other,Other,Other,Light snack,Other,
20251211-01,2025-12-11T15:30:11.853972+00:00,Sitting relaxed,Working at computer,Thick sweater,Warm trousers,Stayed in building,Neutral,Light snack,Slightly cool (-1),
20260114-01,2026-01-14T15:11:42.126456+00:00,Sitting relaxed,Resting,Thick sweater,Warm trousers,Public transport,Neutral,Nothing,Neutral (0),
20260114-01,2026-01-14T15:35:05.606636+00:00,Standing,having a meeting,Long-sleeve shirt,Jeans,Stayed in building,Cool,Light snack; Cold drink,Slightly cool (-1),
